SMILES (prior)	SMILES (after) round trip:
2399	COc1cccc(C(=O)C2=C[C@H](CO)C=CC2=O)c1-c1ccccc1F	COc1cccc(C(=O)C2=CC(CO)C=CC2=O)c1-c1ccccc1F
2400	CNC(=O)CC(O)=C(C(=O)O)C(=O)O[C@@H]1C=C[C@H]2CC=Cc3cc(C(=O)O)cc1c32	CNC(=O)CC(O)=C(C(=O)O)C(=O)OC1C=CC2CC=Cc3cc(C(=O)O)cc1c32
2403	CO[C@H]1CCCC[C@@H]1C(=O)c1ccc(O)cc1O	COC1CCCCC1C(=O)c1ccc(O)cc1O
2404	COC(=O)c1cc(O)cc(/C=C/Cc2ccc(O)c(C(=O)O)c2CC(=O)O)c1	COC(=O)c1cc(O)cc(C=CCc2ccc(O)c(C(=O)O)c2CC(=O)O)c1
2405	COC[C@@H](C(C=C(C)C(C)=O)=C(C)O)c1cc(O)cc(-c2ccoc2)c1	COCC(C(C=C(C)C(C)=O)=C(C)O)c1cc(O)cc(-c2ccoc2)c1
2407	C/C=C\c1cc(NC(=O)OC(=O)CC(=O)O)c2[nH]c(C(C)(C)CC)cc2c1	CC=Cc1cc(NC(=O)OC(=O)CC(=O)O)c2[nH]c(C(C)(C)CC)cc2c1
2409	CC(=O)OC(=O)c1ccc(O)c(C[C@H](O)c2ccccc2C(=O)C(O)=NCC(=O)O)c1O	CC(=O)OC(=O)c1ccc(O)c(CC(O)c2ccccc2C(=O)C(O)=NCC(=O)O)c1O
2410	CCCC(C[NH2+][O-])=C(/C=C\C(C)=CCCC(=O)O)/C=C1\CCCC[C@H]1C	CCCC(C[NH2+][O-])=C(C=CC(C)=CCCC(=O)O)C=C1CCCCC1C
2411	CC1=C(C(=O)O)C(=O)C=C(Nc2cccc([C@@H](C)c3cc(O)c(C(=O)O)cc3O)c2)C1=O	CC1=C(C(=O)O)C(=O)C=C(Nc2cccc(C(C)c3cc(O)c(C(=O)O)cc3O)c2)C1=O
2413	CC(C)c1cccc(O[C@@H](Cc2cnc(N)nc2[C@@H](C)/C=C\C(=O)O)C(C)C)c1O	CC(C)c1cccc(OC(Cc2cnc(N)nc2C(C)C=CC(=O)O)C(C)C)c1O
2415	CCc1cc2c3c(c1)[C@H]([N+](=O)[O-])C(O)=C[C@@H]3C=C(O)C2	CCc1cc2c3c(c1)C([N+](=O)[O-])C(O)=CC3C=C(O)C2
2417	NC(=O)Oc1c(CC[C@H](N=C(N)O)c2ccc(Cl)cc2)ccc2c(CCC(=O)O)cccc12	NC(=O)Oc1c(CCC(N=C(N)O)c2ccc(Cl)cc2)ccc2c(CCC(=O)O)cccc12
2418	NC(N)[C@H](/C=C/CO)c1ccc(O)c(S(=O)(=O)Nc2ccccc2)c1	NC(N)C(C=CCO)c1ccc(O)c(S(=O)(=O)Nc2ccccc2)c1
2419	Cc1ccc(O)c2c1CC=C1C(CC(=O)O)=CC=C[C@H]12	Cc1ccc(O)c2c1CC=C1C(CC(=O)O)=CC=CC12
2421	Cc1cc(O)c2c([C@@](O)(c3cccc4ccc(F)cc34)C(C)C)c3c(O)cccc3c(CN)c2c1	Cc1cc(O)c2c(C(O)(c3cccc4ccc(F)cc34)C(C)C)c3c(O)cccc3c(CN)c2c1
2422	C=CCC1=C(O)[C@@H](C(=O)O)c2c(c(O)c3c(C)c4[nH]c(O)[n+](CC(=O)O)c4cc3c2C)C1	C=CCC1=C(O)C(C(=O)O)c2c(c(O)c3c(C)c4[nH]c(O)[n+](CC(=O)O)c4cc3c2C)C1
2423	Cc1ccccc1S(=O)(=O)NC(=O)OCc1ccc(CO)cc1O[C@@H]1C=CCc2c1cc(O)n2C	Cc1ccccc1S(=O)(=O)NC(=O)OCc1ccc(CO)cc1OC1C=CCc2c1cc(O)n2C
2425	O=CC1=CC(=O)C[C@@H]([C@H](O)Cc2cc(CC(=O)O)ccc2O)C1=O	O=CC1=CC(=O)CC(C(O)Cc2cc(CC(=O)O)ccc2O)C1=O
2426	O=C(O)C[C@@H]1C=CC[C@H]2C1=CCc1c(CO)cc3cc(C(=O)O)[nH]c3c12	O=C(O)CC1C=CCC2C1=CCc1c(CO)cc3cc(C(=O)O)[nH]c3c12
2427	C[C@H](Cc1ccc2c(c1)CC=N[C@@H]2c1c(O)cccc1C(=O)O)C(=O)O	CC(Cc1ccc2c(c1)CC=NC2c1c(O)cccc1C(=O)O)C(=O)O
2429	Cc1cc2c3c(ccc2o1)[C@@H](C)CC[C@@H]3[C@@H]1C(=O)C=CCC1=O	Cc1cc2c3c(ccc2o1)C(C)CCC3C1C(=O)C=CCC1=O
2430	C[C@@H](C(=N)N)c1ccccc1[C@H]1C[C@H](CCC(=O)O)C(O)=N[C@H]1O	CC(C(=N)N)c1ccccc1C1CC(CCC(=O)O)C(O)=NC1O
2431	Cc1ccccc1CO[C@H](C)c1ccccc1CCC(=O)O	Cc1ccccc1COC(C)c1ccccc1CCC(=O)O
2432	CC[C@@H](O)CCc1c(OS(=O)(=O)O)cc2c(nc(O)n2-c2cccc(C#N)c2)c1OC	CCC(O)CCc1c(OS(=O)(=O)O)cc2c(nc(O)n2-c2cccc(C#N)c2)c1OC
2433	N[C@H](CCC(=O)O)C(=O)NC(=O)c1ccc2ccccc2c1	NC(CCC(=O)O)C(=O)NC(=O)c1ccc2ccccc2c1
2437	C/C=C(\Cc1cc(NC(=O)O)c2c3c1[C@@H](CC(=O)OC)[C@H](OC)C[C@@H]3C=CN2)C(=O)O	CC=C(Cc1cc(NC(=O)O)c2c3c1C(CC(=O)OC)C(OC)CC3C=CN2)C(=O)O
2438	CC[C@@H](C(C)=CC(=O)O)c1c(C)ccc2cc(C(=O)NC(C(=O)O)C(=O)O)ccc12	CCC(C(C)=CC(=O)O)c1c(C)ccc2cc(C(=O)NC(C(=O)O)C(=O)O)ccc12
2439	CC(C)(C)c1cc(F)cc(O)c1[C@@H](CC(=O)O)C(=O)O	CC(C)(C)c1cc(F)cc(O)c1C(CC(=O)O)C(=O)O
2440	CCOC(=O)N[C@@H]1C=C[C@H](CCC(=O)O)[C@@H](c2ccccc2O)[C@@H]1CCC(=O)O	CCOC(=O)NC1C=CC(CCC(=O)O)C(c2ccccc2O)C1CCC(=O)O
2442	CC/C=C\[C@@H]1C=CCc2c(C(=O)c3ccco3)cccc21	CCC=CC1C=CCc2c(C(=O)c3ccco3)cccc21
2443	C=C[C@H](O)c1c2ccccc2c(CC(=O)c2ccc(C=O)cc2)c2ccccc12	C=CC(O)c1c2ccccc2c(CC(=O)c2ccc(C=O)cc2)c2ccccc12
2449	O=C(O)CCc1ccc2c(c1[C@H](O)c1ccc[nH]1)[C@H](O)C=CC2	O=C(O)CCc1ccc2c(c1C(O)c1ccc[nH]1)C(O)C=CC2
2451	CCCc1ccc(C(=O)O)c([C@@H]2CCNc3ccccc32)c1	CCCc1ccc(C(=O)O)c(C2CCNc3ccccc32)c1
2452	O=C(O)CC(O)=NCC(=O)[C@@H](C(=O)O)c1c(C(=O)O)c(O)nc2oc3cccc(O)c3c12	O=C(O)CC(O)=NCC(=O)C(C(=O)O)c1c(C(=O)O)c(O)nc2oc3cccc(O)c3c12
2455	COc1cc(O)c(NC(=O)OC(=O)Cc2ccccc2)c(/C=C/C(=O)O)c1OC	COc1cc(O)c(NC(=O)OC(=O)Cc2ccccc2)c(C=CC(=O)O)c1OC
2457	N#Cc1cc(Cl)c(C(=O)N[C@@H](Cc2ccccc2)C(=O)O)cc1C(=O)O	N#Cc1cc(Cl)c(C(=O)NC(Cc2ccccc2)C(=O)O)cc1C(=O)O
2458	CCCCC(=O)OC(=O)CC(=O)NC(=C/C=C\C(C)=CC#N)C(=O)Oc1c(O)cccc1C(=O)O	CCCCC(=O)OC(=O)CC(=O)NC(=CC=CC(C)=CC#N)C(=O)Oc1c(O)cccc1C(=O)O
2459	Cc1c2c(cc3occ(NS(=O)(=O)O)c13)[C@H](CCC(=O)O)C=CC2	Cc1c2c(cc3occ(NS(=O)(=O)O)c13)C(CCC(=O)O)C=CC2
2461	COC(=O)Cc1c(O)ccc(/C=C(/O)c2ccc(CCO)c(C(=O)O)c2)c1Cl	COC(=O)Cc1c(O)ccc(C=C(O)c2ccc(CCO)c(C(=O)O)c2)c1Cl
2463	COC(=O)C[C@@H](c1c(O)cc2ccccc2c1C)[C@@H](O)CC(=O)c1ccccc1OC	COC(=O)CC(c1c(O)cc2ccccc2c1C)C(O)CC(=O)c1ccccc1OC
2465	CCc1cc(C(=O)OC)cc(C(=O)c2ccc(C(=O)O)s2)c1[C@@H](O)C[C@@H](C)C(=O)O	CCc1cc(C(=O)OC)cc(C(=O)c2ccc(C(=O)O)s2)c1C(O)CC(C)C(=O)O
2467	CC1=C[C@@H](O)c2c(C(=O)O)cccc2[C@@H]1Cc1c(N)cccc1F	CC1=CC(O)c2c(C(=O)O)cccc2C1Cc1c(N)cccc1F
2468	O=C(O)c1cccc(C[C@H](C(=O)O)c2ccccc2)c1	O=C(O)c1cccc(CC(C(=O)O)c2ccccc2)c1
2469	CCc1c(OCc2cccc(C(=O)O)c2)cccc1[C@@H]1C=C(OC)CC1	CCc1c(OCc2cccc(C(=O)O)c2)cccc1C1C=C(OC)CC1
2470	CCCCc1cc2c(cc1[C@@H](C)C(=O)O)nc(O)n2CC	CCCCc1cc2c(cc1C(C)C(=O)O)nc(O)n2CC
2472	CCc1ccccc1OC(=O)Cc1c(N)ccc(O)c1C/N=C(/O)Cc1ccc(C)[nH]1	CCc1ccccc1OC(=O)Cc1c(N)ccc(O)c1CN=C(O)Cc1ccc(C)[nH]1
2473	Cc1cccc(C(=O)NC(=O)[C@H](CCCCCCC(=O)O)c2c(O)cc(Cl)cc2F)c1O	Cc1cccc(C(=O)NC(=O)C(CCCCCCC(=O)O)c2c(O)cc(Cl)cc2F)c1O
2475	O=C(O)CC(=O)/C=C/Nc1cc2c(c3c1COC3)[C@@H](O)C=CC2	O=C(O)CC(=O)C=CNc1cc2c(c3c1COC3)C(O)C=CC2
2476	CC1=CC2=C[C@@H](c3ccc4[nH]c(Cl)cc4c3Cl)c3cccc(O)c3[C@H]2C=N1	CC1=CC2=CC(c3ccc4[nH]c(Cl)cc4c3Cl)c3cccc(O)c3C2C=N1
2477	O=C(CCC[C@@H]1C[C@H](O)C(C(=O)O)=C[C@H]1O)OC(=O)c1cccc2ccccc12	O=C(CCCC1CC(O)C(C(=O)O)=CC1O)OC(=O)c1cccc2ccccc12
2478	C[C@@H]1CC[C@@H](O)C(=C(Cc2cccc(OCC(=O)O)c2)C(=O)c2ccccc2)C1	CC1CCC(O)C(=C(Cc2cccc(OCC(=O)O)c2)C(=O)c2ccccc2)C1
2479	CCOC(=O)Nc1cc(O)c2c3c1C[C@H](O)[C@@H](OC)[C@@H]3C=C(CC(C)(C)c1cccc(OC)c1)C2	CCOC(=O)Nc1cc(O)c2c3c1CC(O)C(OC)C3C=C(CC(C)(C)c1cccc(OC)c1)C2
2481	CC1=C[C@H](c2c(-c3cccc(/C=C(/Cl)c4ccco4)c3)ccnc2CCCl)CC=C1	CC1=CC(c2c(-c3cccc(C=C(Cl)c4ccco4)c3)ccnc2CCCl)CC=C1
2482	CCOC(=O)/C=C/Nc1c(O)ccc(COC)c1C	CCOC(=O)C=CNc1c(O)ccc(COC)c1C
2483	COC/C=C\C1=CCc2cc(C(=O)O)cc(-c3cc(C(=O)O)c(C)c(O)c3C(=O)O)c2C1(C)C	COCC=CC1=CCc2cc(C(=O)O)cc(-c3cc(C(=O)O)c(C)c(O)c3C(=O)O)c2C1(C)C
2484	C=CC/C=C/c1cnc(O)c2[nH]cc(C(=O)CCCC(=O)OC)c12	C=CCC=Cc1cnc(O)c2[nH]cc(C(=O)CCCC(=O)OC)c12
2485	CC[n+]1c(O)[nH]c2c(CC[C@@H](CC(C(=O)O)C(=O)O)C[C@](C)(O)CC)cccc21	CC[n+]1c(O)[nH]c2c(CCC(CC(C(=O)O)C(=O)O)CC(C)(O)CC)cccc21
2486	C[C@@H](/C=C/C(=O)O)Cc1cccc(NC(=O)c2ccccc2Cl)c1C=O	CC(C=CC(=O)O)Cc1cccc(NC(=O)c2ccccc2Cl)c1C=O
2487	C=C[C@H](CO)c1cc(C)ccc1COC(=O)C(N)=CN/C=C/C(=O)O	C=CC(CO)c1cc(C)ccc1COC(=O)C(N)=CNC=CC(=O)O
2495	Cc1cc2c(-c3cccc4c3c(O)cc3[nH]cc([C@H](O)[C@@H](C#N)C(=O)O)c34)[nH]c(Br)c2[nH]1	Cc1cc2c(-c3cccc4c3c(O)cc3[nH]cc(C(O)C(C#N)C(=O)O)c34)[nH]c(Br)c2[nH]1
2498	CC=C1C=CC(c2cc(C)cc3cc4c(-c5ccc[nH]5)c(O)ccc4cc23)=C[C@@H]1[C@@H](C)CN	CC=C1C=CC(c2cc(C)cc3cc4c(-c5ccc[nH]5)c(O)ccc4cc23)=CC1C(C)CN
2500	CCO[C@H](c1cccc(OC)c1OC(=O)CCc1cccnc1C)[C@H](OC)c1ccco1	CCOC(c1cccc(OC)c1OC(=O)CCc1cccnc1C)C(OC)c1ccco1
2501	O=C(O)CCCc1cccc2[nH]c(CO)[n+](C[C@H]3C=C[C@@H]4C=CCc5cccc3c54)c12	O=C(O)CCCc1cccc2[nH+]c(CO)n(CC3C=CC4C=CCc5cccc3c54)c12
2503	COc1ccc(-c2ccccc2)c2c1CC=C(C/C=C\CC(=O)NC(=O)OC(C)=O)[C@H]2O	COc1ccc(-c2ccccc2)c2c1CC=C(CC=CCC(=O)NC(=O)OC(C)=O)C2O
2505	O=C(O)C=C(O)C/C(O)=C/C(=O)OC(=O)CC(=O)NC[C@@H](O)CCNc1ccc(C(=O)O)cc1Cl	O=C(O)C=C(O)CC(O)=CC(=O)OC(=O)CC(=O)NCC(O)CCNc1ccc(C(=O)O)cc1Cl
2507	CCCCN[C@H](C)[C@@H](CC(=O)O)[C@H]1C[C@H](O)[C@@H]2C=C[C@@H](O)c3c4c(c(C(=O)O)c1c32)CC=CC4	CCCCNC(C)C(CC(=O)O)C1CC(O)C2C=CC(O)c3c4c(c(C(=O)O)c1c32)CC=CC4
2508	Cc1ccc2cc3cc(-c4c(C)ccn4C)cc4c3c(c2c1)[C@@H](Oc1ccccc1)C(C(N)=O)=C4	Cc1ccc2cc3cc(-c4c(C)ccn4C)cc4c3c(c2c1)C(Oc1ccccc1)C(C(N)=O)=C4
2509	CO/C(=C\C(C)=CC(=O)O)CCc1cc(O)c2ccc(OC)cc2n1	COC(=CC(C)=CC(=O)O)CCc1cc(O)c2ccc(OC)cc2n1
2510	Cc1cc2cc(O/C=C/CCC(=O)O)cc(C#N)c2[nH]1	Cc1cc2cc(OC=CCCC(=O)O)cc(C#N)c2[nH]1
2511	CCOC(=O)CC1=C(C)C(=O)C(=O)[C@H](Cc2ccc(OCC)cc2C(C)=O)C1=O	CCOC(=O)CC1=C(C)C(=O)C(=O)C(Cc2ccc(OCC)cc2C(C)=O)C1=O
2514	CO[C@H]1Cc2ccccc2-c2cc(O)c([C@@H](O)C(C)=CCC(=O)O)cc21	COC1Cc2ccccc2-c2cc(O)c(C(O)C(C)=CCC(=O)O)cc21
2515	O=C(O)c1c([C@H](C(=O)O)c2ccccc2)ccc2c1CC=C[C@H]2O	O=C(O)c1c(C(C(=O)O)c2ccccc2)ccc2c1CC=CC2O
2516	CCc1ncc2c(c1CCOc1ccccc1)c([C@H](N)O)c(OC)c1c(CO)cccc12	CCc1ncc2c(c1CCOc1ccccc1)c(C(N)O)c(OC)c1c(CO)cccc12
2517	CO/C=C/C(=O)CC(O)=NCC1=C(CC(=O)O)C(=O)c2c(cc3cc(F)cc(OC)c3c2O)C1=O	COC=CC(=O)CC(O)=NCC1=C(CC(=O)O)C(=O)c2c(cc3cc(F)cc(OC)c3c2O)C1=O
2518	CC/N=C(\O)CCCOC(=O)c1cccc2c(-c3ccco3)c3ccc(C(=O)O)cc3c(O)c12	CCN=C(O)CCCOC(=O)c1cccc2c(-c3ccco3)c3ccc(C(=O)O)cc3c(O)c12
2520	O=S(=O)(O)c1cc2cc(/C(=C\CO)c3cc(Cl)c[nH]3)ccc2s1	O=S(=O)(O)c1cc2cc(C(=CCO)c3cc(Cl)c[nH]3)ccc2s1
2522	CC[C@@H](O)c1ccccc1OC[C@H](O)CCC(O)(O)c1ccc2c(ccn2C(C)(C)C)c1	CCC(O)c1ccccc1OCC(O)CCC(O)(O)c1ccc2c(ccn2C(C)(C)C)c1
2523	COc1cc(C[C@H](O)CCOC2=C(C(=O)O)Cc3c(ccc(C)c3C)[C@H]2F)cc(OC)c1	COc1cc(CC(O)CCOC2=C(C(=O)O)Cc3c(ccc(C)c3C)C2F)cc(OC)c1
2525	Cc1ccc(-c2c(N)c(O)cc(C)c2[C@@H](O)/N=C/N)[nH]1	Cc1ccc(-c2c(N)c(O)cc(C)c2C(O)N=CN)[nH]1
2527	COc1cc2c3c(c(C(C)=O)cc2c2cnc(N)nc12)[C@H](O)C=C[C@@H]3C	COc1cc2c3c(c(C(C)=O)cc2c2cnc(N)nc12)C(O)C=CC3C
2528	Cc1cnc(C[C@H](C(=O)O)c2c(O)cccc2CCCC(O)=N[C@@H](C=O)C(=O)O)o1	Cc1cnc(CC(C(=O)O)c2c(O)cccc2CCCC(O)=NC(C=O)C(=O)O)o1
2530	CC(=Cc1ccc2occ(C)c2c1)C(=O)N[C@H](C#N)C(=O)c1c[nH]c2c1[C@@H](O)CC[C@H]2O	CC(=Cc1ccc2occ(C)c2c1)C(=O)NC(C#N)C(=O)c1c[nH]c2c1C(O)CCC2O
2534	COC(=C1C=C(Cl)C=CC1)[C@@H](C)c1cccc(CC(=O)O)c1C(=O)O	COC(=C1C=C(Cl)C=CC1)C(C)c1cccc(CC(=O)O)c1C(=O)O
2535	N[C@H](C(=O)/C=C(/CCCC(=O)O)C(=O)O)C(=O)Nc1cc(C(=O)O)ccc1O	NC(C(=O)C=C(CCCC(=O)O)C(=O)O)C(=O)Nc1cc(C(=O)O)ccc1O
2536	NS(=O)(=O)OC(=O)/C=C/c1ccc(C(=O)O)cc1-c1cccnc1	NS(=O)(=O)OC(=O)C=Cc1ccc(C(=O)O)cc1-c1cccnc1
2537	CC1=C[C@@H](O)[C@H]2C(=CCc3cc(/C=C\C=C\CCC(=O)O)c(-c4ccccc4C)cc32)C1	CC1=CC(O)C2C(=CCc3cc(C=CC=CCCC(=O)O)c(-c4ccccc4C)cc32)C1
2538	O=C(/C=C/Oc1ccc(O)cc1Cl)NC(=O)c1ccc2ccccc2c1	O=C(C=COc1ccc(O)cc1Cl)NC(=O)c1ccc2ccccc2c1
2541	CCC[C@@H]1CC[C@H](O)[C@H](C(O)=NCCCC(=O)O)[C@@H]1NC(=O)Nc1ccccc1O	CCCC1CCC(O)C(C(O)=NCCCC(=O)O)C1NC(=O)Nc1ccccc1O
2543	NC(=O)[C@@H](NC(=O)CC(=O)O)C(=O)[C@@H](CCc1cccc(O)c1)C(=O)C(=O)O	NC(=O)C(NC(=O)CC(=O)O)C(=O)C(CCc1cccc(O)c1)C(=O)C(=O)O
2544	Cc1ccc(C/C=C/c2ccc(O)cc2[N+](=O)[O-])c(C(=O)O)c1Cc1nscc1C(C)(C)C	Cc1ccc(CC=Cc2ccc(O)cc2[N+](=O)[O-])c(C(=O)O)c1Cc1nscc1C(C)(C)C
2546	CC1=C[C@@H](C(=O)O)c2cc3ccc(O)cc3cc2C1	CC1=CC(C(=O)O)c2cc3ccc(O)cc3cc2C1
2548	CNC(O)=CCC1=C(CC(=O)O)C=CC2=CCc3c(CC(=O)O)cccc3[C@@H]21	CNC(O)=CCC1=C(CC(=O)O)C=CC2=CCc3c(CC(=O)O)cccc3C21
2549	C/C=C1/C=c2ccc(-c3cccc4ccccc34)nc2=C[C@H]1c1ccc(C(=O)O)c(C(=O)O)c1	CC=C1C=c2ccc(-c3cccc4ccccc34)nc2=CC1c1ccc(C(=O)O)c(C(=O)O)c1
2550	C/C=C(\Cl)Nc1ccc(S(=O)(=O)CC(=O)NS(=O)(=O)O)cc1	CC=C(Cl)Nc1ccc(S(=O)(=O)CC(=O)NS(=O)(=O)O)cc1
2551	COC(=O)[C@@H](CC[C@H]1C[C@@H](Cl)Cc2c(OC)cccc21)Oc1ccccc1	COC(=O)C(CCC1CC(Cl)Cc2c(OC)cccc21)Oc1ccccc1
2552	CCc1cocc1Cc1cc2c(cc1C)[C@H](NC(=O)CC(=O)O)C=C1CC=CC[C@H]12	CCc1cocc1Cc1cc2c(cc1C)C(NC(=O)CC(=O)O)C=C1CC=CCC12
2554	O=C(O)C[C@H]1C=CCc2c1[nH]c(C(=O)O)c2C(=O)OC(=O)CC(=O)c1ccc(Br)cc1	O=C(O)CC1C=CCc2c1[nH]c(C(=O)O)c2C(=O)OC(=O)CC(=O)c1ccc(Br)cc1
2556	CCC1=CN(Cc2c(C)ccc3c(O)cccc23)[C@H]([C@H]2C=C(C)C=C(O)C2=CCO)C1	CCC1=CN(Cc2c(C)ccc3c(O)cccc23)C(C2C=C(C)C=C(O)C2=CCO)C1
2557	CC(C)C1=CCc2c([nH]c3c2[C@@H](C(N)=O)C=C(C(=O)O)[C@H]3Cl)C1	CC(C)C1=CCc2c([nH]c3c2C(C(N)=O)C=C(C(=O)O)C3Cl)C1
2558	CCN[C@@H](O)c1ccc(C)cc1-c1c(O)c(OC)cc(Cl)c1OC	CCNC(O)c1ccc(C)cc1-c1c(O)c(OC)cc(Cl)c1OC
2560	O=C(O)c1cc2cccc(O)c2c(-c2ccccc2)c1[C@H](O)c1cc[nH]c1	O=C(O)c1cc2cccc(O)c2c(-c2ccccc2)c1C(O)c1cc[nH]c1
2561	CCC(=O)O[C@H](C(=O)O)C(=O)Nc1cccc(Cl)c1N(C(=O)c1cccc(O)c1)C(=O)[C@H](N)CC	CCC(=O)OC(C(=O)O)C(=O)Nc1cccc(Cl)c1N(C(=O)c1cccc(O)c1)C(=O)C(N)CC
2562	COC(=O)[C@H](Cc1cc(C#N)cc(C(=O)O)c1)C(=O)O	COC(=O)C(Cc1cc(C#N)cc(C(=O)O)c1)C(=O)O
2564	CC(C)COc1cc(C(Cl)=C[C@@](C)(O)c2ccc(O)cc2S(=O)(=O)O)ccc1C(=O)O	CC(C)COc1cc(C(Cl)=CC(C)(O)c2ccc(O)cc2S(=O)(=O)O)ccc1C(=O)O
2565	COC(=C(C=O)C(=O)CC(=O)O)c1c(O)cccc1[C@@H](O)N=C1CC=CC(O)=C1C	COC(=C(C=O)C(=O)CC(=O)O)c1c(O)cccc1C(O)N=C1CC=CC(O)=C1C
2567	C[C@H](c1c(O)cc(C(=O)O)c(O)c1O)[C@H](NCC(=O)O)C(=O)O	CC(c1c(O)cc(C(=O)O)c(O)c1O)C(NCC(=O)O)C(=O)O
2568	C=C[C@@H]1C(C(N)=O)=CC(=O)c2ccc(Cl)c(O)c21	C=CC1C(C(N)=O)=CC(=O)c2ccc(Cl)c(O)c21
2569	N#C[C@H](N)C(=O)OC(=O)[C@@H](/C=C\C(=O)O)c1cccc(Cl)c1	N#CC(N)C(=O)OC(=O)C(C=CC(=O)O)c1cccc(Cl)c1
2570	COC(=O)Nc1ccc2c(C[C@@](C#N)(CCCc3ccccc3)C(=O)O)ccc(CC(=O)O)c2c1Cl	COC(=O)Nc1ccc2c(CC(C#N)(CCCc3ccccc3)C(=O)O)ccc(CC(=O)O)c2c1Cl
2574	COCCCCOc1cccc([C@@H]2C=CCc3c(COC)cccc32)c1C	COCCCCOc1cccc(C2C=CCc3c(COC)cccc32)c1C
2576	Nc1cc(-c2[nH]c(O)c3c2CC=C[C@H]3CCC(=O)O)ccc1F	Nc1cc(-c2[nH]c(O)c3c2CC=CC3CCC(=O)O)ccc1F
2578	C/C=C\CCc1c(O)c(C(=O)O)cc2cc3c(cc12)C(=O)C=C(NC(=O)OC)C3=O	CC=CCCc1c(O)c(C(=O)O)cc2cc3c(cc12)C(=O)C=C(NC(=O)OC)C3=O
2579	COc1c(C(=O)O)c(O)c2ccc3ccccc3c2c1C[C@H](CC(=O)O)C(=O)O	COc1c(C(=O)O)c(O)c2ccc3ccccc3c2c1CC(CC(=O)O)C(=O)O
2581	CCC/C=C(/C)CCc1ncc(C)c2c(OCCCO/C=C/C(C)=O)ccc(C(=O)O)c12	CCCC=C(C)CCc1ncc(C)c2c(OCCCOC=CC(C)=O)ccc(C(=O)O)c12
2582	COCC1=C(c2ccccc2)C=C(C(=O)OC)[C@H]2C1=C(O)Cc1c2ccnc1O	COCC1=C(c2ccccc2)C=C(C(=O)OC)C2C1=C(O)Cc1c2ccnc1O
2585	CCCCCOc1c(C)c2c(c(C(=O)O)c1O)[C@H](C)C=C(O)C2	CCCCCOc1c(C)c2c(c(C(=O)O)c1O)C(C)C=C(O)C2
2586	C[C@@H](CCCC(=O)O)c1c([C@]2(OC(=O)CCCC(=O)O)C=CC=CC2)ccc2c1CCC=C2	CC(CCCC(=O)O)c1c(C2(OC(=O)CCCC(=O)O)C=CC=CC2)ccc2c1CCC=C2
2588	C[C@@H](Cc1ccc2ccccc2c1)[C@@H]1C=C2C=CC=C(Cl)[C@@H]2c2ccccc21	CC(Cc1ccc2ccccc2c1)C1C=C2C=CC=C(Cl)C2c2ccccc21
2590	CCCCC[C@@](O)(CCC)c1cc(C(=O)NCCC(=O)O)c2cc(O)cc(C(=O)O)c2c1	CCCCCC(O)(CCC)c1cc(C(=O)NCCC(=O)O)c2cc(O)cc(C(=O)O)c2c1
2592	COCc1cccc(-c2ccc(C)n2[C@@H](C(=O)O)c2coc(C)c2-c2cccc(OC)c2OC)c1	COCc1cccc(-c2ccc(C)n2C(C(=O)O)c2coc(C)c2-c2cccc(OC)c2OC)c1
2594	CCc1cc2c(O)cccc2cc1[C@H](C)S[C@@H](Cl)c1c(Cl)c(OC)c2c(F)cc(N)cc2c1Cl	CCc1cc2c(O)cccc2cc1C(C)SC(Cl)c1c(Cl)c(OC)c2c(F)cc(N)cc2c1Cl
2596	CCCc1ccc(C(=O)OC(=O)[C@@H](CCCc2ccccc2C(=O)O)C(=O)O)c(Cl)c1	CCCc1ccc(C(=O)OC(=O)C(CCCc2ccccc2C(=O)O)C(=O)O)c(Cl)c1
2597	O=C(O)c1ccc(/C=C\c2ccccc2Oc2ccccc2)cc1	O=C(O)c1ccc(C=Cc2ccccc2Oc2ccccc2)cc1
2599	CC(C)(C)C(=O)Nc1cccc2c1[C@H](C(N)=N[C@H](C=O)CCCCC(=O)O)CC2	CC(C)(C)C(=O)Nc1cccc2c1C(C(N)=NC(C=O)CCCCC(=O)O)CC2
2600	CCc1c(CCOC)ncc2c(C[C@@H](C(=O)O)[C@H](O)C[C@H](CC(=O)O)C(=O)O)c(C)cc(OC)c12	CCc1c(CCOC)ncc2c(CC(C(=O)O)C(O)CC(CC(=O)O)C(=O)O)c(C)cc(OC)c12
2601	COC1=C[C@@H](O)c2c(ccc(-c3ccccc3C(=O)O)c2O)N1	COC1=CC(O)c2c(ccc(-c3ccccc3C(=O)O)c2O)N1
2606	COc1cc(O)cnc1S(=O)(=O)OC(=O)c1ccc(O)c(NC(=O)[C@H](O)c2c[nH]c3ccccc23)c1	COc1cc(O)cnc1S(=O)(=O)OC(=O)c1ccc(O)c(NC(=O)C(O)c2c[nH]c3ccccc23)c1
2607	CCCC[C@@](C)(O)c1cc(C)c2c(c1)[C@H]1C=CC=C[C@H]1CC2	CCCCC(C)(O)c1cc(C)c2c(c1)C1C=CC=CC1CC2
2610	CCc1c(O)c2c(c(O)c1C(=O)O)CC=C([C@H](CCC(=O)O)OC(=O)OC)[C@@H]2O	CCc1c(O)c2c(c(O)c1C(=O)O)CC=C(C(CCC(=O)O)OC(=O)OC)C2O
